City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
72,lethem,3.3803,-59.7968,88.11,60.0,87.0,3.29,GY,1717444252.0
73,volgodonsk,47.5136,42.1514,71.13,49.0,100.0,7.74,RU,1717444253.0
74,broken hill,-31.95,141.4333,47.23,49.0,100.0,8.46,AU,1717444050.0
75,adamstown,-25.066,-130.1015,70.14,82.0,100.0,5.99,PN,1717444253.0
76,manta,-0.95,-80.7333,80.38,69.0,75.0,18.41,EC,1717444222.0
77,lata,40.1629,-8.3327,63.09,63.0,0.0,2.59,PT,1717444253.0
78,belmonte,-15.8631,-38.8828,75.92,81.0,100.0,8.43,BR,1717444253.0
79,alaghsas,17.0187,8.0168,99.16,14.0,61.0,18.9,NE,1717444253.0
80,prokhladnyy,43.7574,44.0297,70.57,67.0,7.0,4.92,RU,1717444253.0
81,laojunmiao,39.8333,97.7333,55.4,31.0,21.0,8.32,CN,1717444253.0
82,labytnangi,66.6572,66.4183,32.38,82.0,62.0,4.63,RU,1717444253.0
83,el bayadh,33.6832,1.0193,72.1,37.0,97.0,4.05,DZ,1717444254.0
84,brisas de zicatela,15.8369,-97.0419,89.38,62.0,100.0,11.43,MX,1717444254.0
85,el porvenir,13.7617,-87.3458,94.33,68.0,99.0,3.11,HN,1717444254.0
86,east falmouth,41.5784,-70.5586,79.11,61.0,0.0,11.5,US,1717444254.0
87,howard springs,-12.497,131.047,69.71,98.0,30.0,2.95,AU,1717444254.0
88,pisco,-13.7,-76.2167,66.25,72.0,4.0,10.36,PE,1717444254.0
89,mawlaik,23.6333,94.4167,75.02,96.0,74.0,0.83,MM,1717444254.0
90,alice springs,-23.7,133.8833,51.35,100.0,41.0,5.75,AU,1717444052.0
91,arraial do cabo,-22.9661,-42.0278,78.76,73.0,0.0,9.22,BR,1717444254.0
92,kovur,14.4833,79.9833,85.59,71.0,100.0,5.21,IN,1717444254.0
93,zapala,-38.8992,-70.0544,38.88,53.0,100.0,6.04,AR,1717444255.0
94,egilsstadir,65.2653,-14.3948,35.51,69.0,100.0,16.11,IS,1717444255.0
95,alofi,-19.0595,-169.9187,75.09,73.0,75.0,11.5,NU,1717444255.0
96,sur,22.5667,59.5289,85.21,70.0,6.0,17.2,OM,1717444255.0
97,blythe,33.6103,-114.5964,95.45,17.0,0.0,9.22,US,1717444255.0
98,zeya,53.75,127.2667,47.48,39.0,3.0,1.57,RU,1717444131.0
99,leca da palmeira,41.191,-8.7003,73.81,43.0,0.0,6.91,PT,1717444255.0
100,solnechnyy,50.7214,136.6319,41.04,68.0,12.0,2.84,RU,1717444255.0
101,padampur,29.6833,73.6167,99.64,17.0,0.0,15.82,IN,1717444255.0
102,antsohimbondrona,,,,,,,,
103,bredasdorp,-34.5322,20.0403,57.83,76.0,100.0,9.55,ZA,1717444256.0
104,port mathurin,-19.6833,63.4167,74.86,71.0,0.0,19.55,MU,1717444256.0
105,bamboo flat,11.7,92.7167,82.49,89.0,40.0,4.61,IN,1717444256.0
106,gamba,-2.65,10.0,74.53,87.0,1.0,5.61,GA,1717444256.0
107,kirkland lake,48.1446,-80.0377,77.29,44.0,100.0,5.75,CA,1717444256.0
108,al aaroui,35.0118,-3.0045,68.09,73.0,75.0,9.22,MA,1717444256.0
109,san patricio,28.017,-97.5169,93.29,55.0,100.0,21.77,US,1717444256.0
110,santiago del torno,-17.9833,-63.3833,84.96,47.0,4.0,8.88,BO,1717444256.0
111,taiohae,,,,,,,,
112,dubovka,49.0583,44.829,76.15,67.0,72.0,5.23,RU,1717444150.0
113,nuku'alofa,-21.1333,-175.2,70.14,78.0,75.0,5.75,TO,1717444257.0
114,port lincoln,-34.7333,135.8667,54.52,82.0,100.0,12.1,AU,1717444257.0
115,bilibino,68.0546,166.4372,49.69,40.0,58.0,6.6,RU,1717444257.0
116,wailua homesteads,22.0669,-159.378,79.23,86.0,100.0,17.27,US,1717444257.0
117,el nido,11.1858,119.3956,82.63,78.0,100.0,3.27,PH,1717444257.0
118,novyy urengoy,66.0833,76.6333,23.05,96.0,100.0,9.28,RU,1717444257.0
119,aasiaat,68.7098,-52.8699,31.95,73.0,0.0,15.37,GL,1717444257.0
120,mukah,,,,,,,,
121,beloyarskiy,63.7119,66.6722,43.0,64.0,30.0,4.0,RU,1717444258.0
122,aripuana,-9.1667,-60.6333,94.46,33.0,29.0,5.68,BR,1717444258.0
123,luganville,-15.5333,167.1667,78.1,89.0,93.0,9.35,VU,1717444258.0
124,stanley,54.868,-1.6985,60.39,71.0,20.0,16.11,GB,1717444258.0
125,st. john's,47.5649,-52.7093,50.27,98.0,100.0,13.8,CA,1717444220.0
126,newman,37.3138,-121.0208,80.83,30.0,100.0,6.69,US,1717444258.0
127,port alfred,-33.5906,26.891,57.83,48.0,85.0,16.75,ZA,1717444258.0
128,uvel'skiy,54.4446,61.3574,59.31,85.0,73.0,5.35,RU,1717444258.0
129,kataysk,56.289,62.5841,55.83,96.0,94.0,5.99,RU,1717444258.0
130,agat village,13.3886,144.6585,82.51,87.0,75.0,5.75,GU,1717444259.0
131,el calafate,-50.3408,-72.2768,33.15,64.0,100.0,0.78,AR,1717443976.0
132,tralee,52.2704,-9.7026,55.35,92.0,100.0,4.61,IE,1717444259.0
133,eirunepe,-6.6603,-69.8736,83.44,70.0,100.0,3.51,BR,1717444259.0
134,santa cruz,-17.8,-63.1667,86.05,48.0,20.0,14.97,BO,1717444112.0
135,tambura,5.6,27.4667,73.96,79.0,65.0,2.17,SS,1717444259.0
136,bealanana,-14.55,48.7333,59.43,96.0,67.0,4.27,MG,1717444259.0
137,bethel,41.3712,-73.414,88.21,40.0,40.0,8.05,US,1717444064.0
138,freetown,8.484,-13.2299,83.91,65.0,69.0,9.22,SL,1717444259.0
139,benguela,-12.5763,13.4055,70.03,76.0,85.0,5.23,AO,1717444259.0
140,georgetown,5.4112,100.3354,82.35,83.0,20.0,1.14,MY,1717444260.0
141,oliveira,-20.6964,-44.8272,67.42,63.0,73.0,4.65,BR,1717444226.0
142,thompson,55.7435,-97.8558,59.16,58.0,75.0,9.22,CA,1717444260.0
143,avarua,-21.2078,-159.775,75.25,64.0,40.0,5.75,CK,1717444260.0
144,saudarkrokur,65.7461,-19.6394,37.87,65.0,98.0,19.13,IS,1717444260.0
145,tuzha,57.6062,47.936,63.0,92.0,92.0,6.78,RU,1717444260.0
146,taoudenni,22.6783,-3.9836,99.9,11.0,100.0,9.75,ML,1717444260.0
147,ketchikan,55.3422,-131.6461,56.34,93.0,100.0,8.05,US,1717444261.0
148,saldanha,-33.0117,17.9442,59.05,97.0,40.0,9.51,ZA,1717444261.0
149,tangara,-6.1994,-35.8017,77.94,80.0,100.0,8.16,BR,1717444261.0
150,puerto natales,-51.7236,-72.4875,30.65,93.0,75.0,3.44,CL,1717444261.0
151,nahiyat ash shinafiyah,31.5874,44.6602,95.22,11.0,0.0,12.3,IQ,1717444261.0
152,fada,9.5667,8.3,74.8,80.0,58.0,3.96,NG,1717444261.0
153,ribeira grande,38.5167,-28.7,68.77,77.0,20.0,9.22,PT,1717444261.0
154,mananjary,-21.2167,48.3333,69.76,83.0,52.0,1.48,MG,1717444261.0
155,keflavik,64.0049,-22.5624,42.71,65.0,40.0,19.57,IS,1717444231.0
156,sitka,57.0531,-135.33,49.89,81.0,75.0,8.05,US,1717444261.0
157,daru,-9.0763,143.2092,78.48,83.0,42.0,9.84,PG,1717444262.0
158,isla mujeres,21.2311,-86.731,89.65,63.0,12.0,12.5,MX,1717444262.0
159,tolanaro,-25.0319,46.9987,71.67,88.0,75.0,16.11,MG,1717444262.0
160,kilju,40.9642,129.3278,51.19,85.0,0.0,1.3,KP,1717444262.0
161,alibag,18.6411,72.8792,87.87,75.0,52.0,3.76,IN,1717444262.0
162,emerald,-23.5333,148.1667,47.89,59.0,60.0,5.03,AU,1717444262.0
163,whitehorse,60.7161,-135.0538,54.37,62.0,75.0,11.5,CA,1717444262.0
164,am djarass,,,,,,,,
165,lihue,21.9789,-159.3672,79.84,83.0,100.0,17.27,US,1717444263.0
166,kazalinsk,,,,,,,,
167,mejit,10.2753,170.8646,82.13,81.0,100.0,20.85,MH,1717444263.0
168,puerto deseado,-47.7503,-65.8938,43.9,71.0,100.0,20.02,AR,1717444263.0
169,anadyr,64.75,177.4833,41.5,70.0,0.0,8.95,RU,1717444263.0
170,qamdo,31.1667,97.2333,41.65,80.0,94.0,2.95,CN,1717444263.0
171,san antonio,29.4241,-98.4936,99.99,45.0,75.0,14.97,US,1717444149.0
172,nova sintra,14.8667,-24.7167,75.2,79.0,100.0,24.0,CV,1717444263.0
173,port elizabeth,-33.918,25.5701,57.09,92.0,0.0,3.44,ZA,1717444263.0
174,al jawf,29.5,38.75,91.96,12.0,8.0,10.89,SA,1717444264.0
175,san luis de la loma,17.2706,-100.8939,89.58,48.0,78.0,13.51,MX,1717444264.0
176,bafoulabe,13.8065,-10.8321,101.73,14.0,0.0,6.11,ML,1717444264.0
177,udachny,66.4167,112.4,55.45,48.0,100.0,5.39,RU,1717444264.0
178,cedeira,43.6797,-8.0209,65.98,76.0,5.0,23.67,ES,1717444264.0
179,qalat,32.1058,66.9083,78.48,9.0,1.0,5.7,AF,1717444264.0
180,yako,12.9667,-2.2667,88.88,44.0,82.0,21.65,BF,1717444264.0
181,tromso,69.6496,18.957,51.82,71.0,75.0,16.11,NO,1717444085.0
182,arroyo,41.6096,-4.7969,68.04,48.0,0.0,10.36,ES,1717444156.0
183,nuuk,64.1835,-51.7216,50.61,50.0,40.0,9.22,GL,1717444080.0
184,hayma',,,,,,,,
185,li punti-san giovanni,,,,,,,,
186,tura,25.5198,90.2201,72.12,92.0,100.0,3.47,IN,1717444265.0
187,kodiak,57.79,-152.4072,45.91,93.0,100.0,8.05,US,1717444265.0
188,pachino,36.7186,15.0907,69.87,77.0,8.0,5.73,IT,1717444265.0
189,tazovsky,67.4667,78.7,27.1,95.0,100.0,12.01,RU,1717444265.0
190,kimbe,-5.5502,150.1429,75.87,93.0,38.0,3.18,PG,1717444265.0
191,nsanje,-16.92,35.262,71.85,61.0,0.0,0.69,MW,1717444266.0
192,nykobing sjaelland,55.9249,11.6711,60.94,65.0,100.0,20.04,DK,1717444266.0
193,invercargill,-46.4,168.35,37.92,80.0,58.0,3.58,NZ,1717444063.0
194,praia da vitoria,38.7333,-27.0667,68.76,88.0,40.0,5.75,PT,1717444266.0
195,san antonio de pale,-1.4014,5.6325,78.31,82.0,82.0,11.54,GQ,1717444266.0
196,smithers,54.7804,-127.1743,55.72,76.0,75.0,3.44,CA,1717444266.0
197,yeed,4.55,43.0333,86.52,41.0,43.0,13.91,SO,1717444266.0
198,belyy yar,53.6039,91.3903,49.89,93.0,0.0,2.24,RU,1717444266.0
199,gaigeturi,33.4644,126.3183,59.05,82.0,0.0,3.44,KR,1717444266.0
200,saipan,15.1355,145.701,83.1,83.0,40.0,9.22,MP,1717444266.0
201,aykhal,66.0,111.5,51.93,46.0,100.0,3.85,RU,1717444267.0
202,marka,1.7159,44.7717,79.54,88.0,37.0,16.08,SO,1717444267.0
203,ribeira brava,32.65,-17.0667,70.72,77.0,9.0,4.54,PT,1717444267.0
204,ponmana,,,,,,,,
205,lebu,-37.6167,-73.65,55.22,52.0,100.0,5.79,CL,1717444267.0
206,stephenville,32.2207,-98.2023,87.17,72.0,100.0,9.22,US,1717443997.0
207,nagqu,31.5,92.0,37.49,40.0,100.0,8.21,CN,1717444267.0
208,pimentel,-6.8367,-79.9342,71.89,68.0,20.0,9.22,PE,1717444267.0
209,surskoye,54.4821,46.7214,61.2,91.0,74.0,6.91,RU,1717444267.0
210,marbella,36.5154,-4.8858,71.26,68.0,0.0,4.68,ES,1717444268.0
211,afaahiti,-17.75,-149.2833,82.27,78.0,100.0,12.37,PF,1717444268.0
212,saint-pierre,-21.3393,55.4781,67.68,64.0,0.0,6.91,RE,1717444268.0
213,bengkulu,-3.8004,102.2655,75.94,91.0,99.0,4.07,ID,1717444268.0
214,burabay,53.0838,70.3138,58.24,85.0,96.0,8.99,KZ,1717444268.0
215,samfya,-11.3649,29.5565,73.49,43.0,72.0,5.01,ZM,1717444268.0
216,abepura,-2.6333,140.5833,76.01,100.0,75.0,2.3,ID,1717444268.0
217,tiksi,71.6872,128.8694,36.66,85.0,34.0,4.61,RU,1717444268.0
218,cabo san lucas,22.8909,-109.9124,90.7,52.0,0.0,12.44,MX,1717444268.0
219,arkhangel'sk,64.5401,40.5433,66.13,100.0,40.0,2.24,RU,1717444268.0
220,akcakale,36.7111,38.9475,85.8,19.0,0.0,5.08,TR,1717444269.0
221,vilyuysk,63.7553,121.6247,57.99,90.0,83.0,5.01,RU,1717444269.0
222,alotau,,,,,,,,
223,adrar,20.5022,-10.0711,90.7,13.0,0.0,10.6,MR,1717444269.0
224,gilgit,35.9221,74.3087,64.92,54.0,77.0,3.2,PK,1717444269.0
225,zalingei,12.9096,23.4741,88.07,8.0,28.0,8.88,SD,1717444245.0
226,betio village,1.358,172.9211,80.64,75.0,38.0,6.17,KI,1717444269.0
227,madang,-5.2246,145.7966,76.01,92.0,100.0,3.27,PG,1717444269.0
228,kapuskasing,49.4169,-82.4331,80.6,34.0,100.0,13.8,CA,1717444046.0
229,hilo,19.7297,-155.09,77.61,98.0,100.0,5.75,US,1717444071.0
230,santa marta,11.2408,-74.199,89.65,70.0,20.0,4.61,CO,1717444137.0
231,lospalos,-8.5186,127.0025,72.45,88.0,100.0,6.98,TL,1717444270.0
232,college,64.8569,-147.8028,63.45,53.0,75.0,3.44,US,1717444270.0
233,fort bragg,35.139,-79.006,86.2,58.0,40.0,10.36,US,1717444270.0
234,port saint john's,-31.6229,29.5448,61.21,48.0,100.0,8.46,ZA,1717444270.0
235,igarka,67.4667,86.5833,33.03,82.0,100.0,4.0,RU,1717444270.0
236,phillip island,-38.4835,145.231,52.48,76.0,100.0,13.89,AU,1717444270.0
237,cabedelo,-6.9811,-34.8339,77.67,87.0,77.0,11.41,BR,1717444270.0
238,ust'-kut,56.7938,105.7672,47.44,66.0,100.0,3.0,RU,1717444270.0
239,qarazhal,48.0078,70.7903,59.22,41.0,4.0,6.49,KZ,1717444271.0
240,ust-nera,64.5667,143.2,57.96,43.0,6.0,3.65,RU,1717444271.0
241,omaruru,-21.4333,15.9333,46.29,24.0,0.0,4.21,NA,1717444271.0
242,cape coast,5.1053,-1.2466,81.28,80.0,37.0,11.48,GH,1717444271.0
243,sternberk,49.7304,17.2989,63.27,87.0,99.0,9.44,CZ,1717444271.0
244,gryazovets,58.88,40.2525,59.52,95.0,96.0,6.49,RU,1717444271.0
245,crane,31.3974,-102.3501,100.76,5.0,93.0,14.56,US,1717444271.0
246,prince rupert,54.3161,-130.3201,53.29,85.0,100.0,8.05,CA,1717444271.0
247,khandyga,62.6667,135.6,52.45,63.0,14.0,4.03,RU,1717444271.0
248,plainview,40.7765,-73.4673,88.81,47.0,0.0,6.91,US,1717444272.0
249,vorgashor,67.5833,63.95,19.8,98.0,100.0,2.89,RU,1717444272.0
250,murun-kuren,49.6342,100.1625,55.17,52.0,100.0,3.74,MN,1717444272.0
251,papatowai,-46.5619,169.4708,44.11,68.0,38.0,2.77,NZ,1717444272.0
252,jamestown,42.097,-79.2353,76.51,60.0,75.0,9.22,US,1717444018.0
253,kilindoni,-7.9139,39.6668,79.95,79.0,75.0,12.26,TZ,1717444272.0
254,gueckedou,8.6667,-10.25,74.8,93.0,49.0,4.59,GN,1717444272.0
